County Code,Site Num,POC,Latitude,Longitude,Datum,Date Local,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,County Name,City Name,CBSA Name
1,7,1,37.687526,-121.784217,WGS84,3/16/21,None,23,96,9.382609,24.3,7,23,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,3/17/21,None,23,96,10.647826,24.6,6,23,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,3/18/21,None,23,96,5.108696,14.7,7,13,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,3/19/21,None,23,96,6.169565,18.7,6,17,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,3/20/21,None,23,96,4.008696,18.5,6,17,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,3/21/21,None,23,96,6.091304,16.3,6,15,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,3/22/21,None,23,96,4.165217,14.5,0,13,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,3/23/21,None,23,96,2.895652,22.7,5,21,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,3/24/21,None,23,96,2.821739,13.8,5,12,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,3/25/21,None,23,96,1.630435,9.5,23,8,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
